행정동,도로명주소,지번주소,위도,경도,데이터기준일자
신길제1동,서울특별시 영등포구 도신로58길 34,서울특별시 영등포구 신길동 146-16,37.5091097,126.9168635,2023-09-01
신길제1동,서울특별시 영등포구 영등포로72길 35,서울특별시 영등포구 신길동 119-27,37.51095844,126.9187574,2023-09-01
신길제1동,서울특별시 영등포구 영등포로79길 9,서울특별시 영등포구 신길동 65-103,37.51460728,126.9212226,2023-09-01
신길제1동,서울특별시 영등포구 여의대방로59길 42-4,서울특별시 영등포구 신길동 7-40,37.5152613,126.9218706,2023-09-01
신길제1동,서울특별시 영등포구 여의대방로61길 42,서울특별시 영등포구 신길동 10-40,37.51596302,126.9220354,2023-09-01
신길제1동,서울특별시 영등포구 영등포로81길 6,서울특별시 영등포구 신길동 69-47,37.51385987,126.9221306,2023-09-01
신길제1동,서울특별시 영등포구 도신로52길 11,서울특별시 영등포구 신길동 158-30,37.51042055,126.9141816,2023-09-01
신길제3동,서울특별시 영등포구 신길로39길 8,서울특별시 영등포구 신길동 256-2,37.50699165,126.9100188,2023-09-01
신길제3동,서울특별시 영등포구 신길로39길 28,서울특별시 영등포구 신길동 268-13,37.50718204,126.9079205,2023-09-01
신길제3동,서울특별시 영등포구 신길로41길 34,서울특별시 영등포구 신길동 287-12,37.50890327,126.9074029,2023-09-01
신길제3동,서울특별시 영등포구 도신로 134-1,서울특별시 영등포구 신길동 290-8,37.50850867,126.9065418,2023-09-01
신길제3동,서울특별시 영등포구 신길로41나길 11,서울특별시 영등포구 신길동 271-10,37.5072575,126.9089153,2023-09-01
신길제3동,서울특별시 영등포구 가마산로51길 6,서울특별시 영등포구 신길동 355-556,37.50362807,126.9009591,2023-09-01
신길제3동,서울특별시 영등포구 가마산로49길 2,서울특별시 영등포구 신길동 370-17,37.50343131,126.9005623,2023-09-01
신길제3동,서울특별시 영등포구 도신로24길 6-1,서울특별시 영등포구 신길동 362-19,37.50680242,126.9026162,2023-09-01
